company_name,financial_year,psu/non_psu,csr_state,csr_development_sector,csr_sub_development_sector,project_amount_spent_in_inr_cr,project_amount_spent_inr,project_amount_spent_inr_lakh
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Delhi,Animal welfare,"Environment, Animal Welfare, Conservation Of Resources",0.02,200000.0,2.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1,1000000.0,10.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.05,500000.0,5.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.01,100000.0,1.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Health care,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1,1000000.0,10.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.3,3000000.0,30.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03,300000.0,3.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.03,300000.0,3.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Special education,"Education, Differently Abled, Livelihood",0.0821028,821028.0,8.210280000000001
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Environmental sustainability,"Environment, Animal Welfare, Conservation Of Resources",0.2,2000000.0,20.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Andhra Pradesh,Education,"Education, Differently Abled, Livelihood",0.2,2000000.0,20.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Special education,"Education, Differently Abled, Livelihood",0.02,200000.0,2.0
VIMTA LABS LIMITED,FY 2024-25,Non-PSU,Telangana,Women empowerment,"Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.02,200000.0,2.0
TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,FY 2024-25,Non-PSU,Gujarat,Safe drinking water,"Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0086,86000.0,0.86
TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED,FY 2024-25,Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.0,10000000.0,100.0
