financial_year,csr_state,csr_development_sector,total_csr_spent_inr,total_projects,average_project_spend_inr,median_project_spend_inr,maximum_project_spend_inr,minimum_project_spend_inr,total_csr_spent_cr,average_project_spend_cr,sector_project_share,sector_spending_share
FY 2024-25,Andaman and Nicobar Islands,Education,118785425.0,2,59392712.5,59392712.5,118332425.0,453000.0,11.8785425,5.93927125,0.125,0.7930155279592309
FY 2024-25,Andaman and Nicobar Islands,Rural development projects,13954861.25,3,4651620.416666667,2900000.0,9554861.25,1500000.0,1.395486125,0.4651620416666667,0.1875,0.09316312722513359
FY 2024-25,Andaman and Nicobar Islands,Livelihood enhancement projects,5866554.0,2,2933277.0,2933277.0,5416554.0,450000.0,0.5866554,0.2933277,0.125,0.039165313569500114
FY 2024-25,Andaman and Nicobar Islands,"Poverty, Eradicating Hunger, Malnutrition",5142692.0,5,1028538.4,1000000.0,2400000.0,120043.0,0.5142692,0.10285384,0.3125,0.03433278629521857
FY 2024-25,Andaman and Nicobar Islands,Health care,4140000.0,2,2070000.0,2070000.0,3540000.0,600000.0,0.414,0.207,0.125,0.027638780479601905
FY 2024-25,Andaman and Nicobar Islands,Environmental sustainability,1900000.0,2,950000.0,950000.0,1500000.0,400000.0,0.19,0.095,0.125,0.012684464471314884
FY 2024-25,Andhra Pradesh,Livelihood enhancement projects,3267129440.44,115,28409821.22121739,1260000.0,1778132825.0000002,0.0,326.712944044,2.840982122121739,0.03970994475138122,0.237393544279604
FY 2024-25,Andhra Pradesh,Education,3049203275.77,779,3914253.2423234917,500000.0,358605574.0,0.0,304.920327577,0.39142532423234916,0.2689917127071823,0.22155876773787486
FY 2024-25,Andhra Pradesh,Health care,2328792660.93,570,4085601.1595263155,1000000.0,285645183.0,0.0,232.87926609299998,0.40856011595263153,0.1968232044198895,0.1692128682835563
FY 2024-25,Andhra Pradesh,Environmental sustainability,1581653339.55,241,6562876.927593361,1500000.0,143000000.0,1.0,158.165333955,0.6562876927593361,0.0832182320441989,0.11492482894919508
FY 2024-25,Andhra Pradesh,Rural development projects,1489255066.4099998,308,4835243.722110389,772408.5700000001,552653758.0,0.0,148.925506641,0.4835243722110389,0.106353591160221,0.1082110595850203
FY 2024-25,Andhra Pradesh,"Poverty, Eradicating Hunger, Malnutrition",583922011.11,221,2642181.0457466063,1000000.0,100000000.0,0.0,58.392201111,0.2642181045746606,0.0763121546961326,0.04242847378021505
FY 2024-25,Andhra Pradesh,Vocational skills,362412868.87,92,3939270.313804348,1447233.5,62478904.99999999,0.0,36.241286887,0.3939270313804348,0.031767955801104975,0.026333353790231825
FY 2024-25,Andhra Pradesh,Safe drinking water,221320965.05,113,1958592.611061947,541588.0,37382400.0,0.0,22.132096505,0.1958592611061947,0.03901933701657458,0.01608144680962687
FY 2024-25,Andhra Pradesh,Gender equality,212996929.32999998,14,15214066.380714284,1900000.0,130260000.0,100000.0,21.299692933,1.5214066380714284,0.004834254143646409,0.015476612388981846
FY 2024-25,Andhra Pradesh,Art and culture,78800057.08,62,1270968.6625806452,468770.5,35626537.25,0.0,7.880005708,0.12709686625806452,0.021408839779005526,0.005725706673298194
FY 2024-25,Andhra Pradesh,Sanitation,68891470.86,47,1465775.9757446807,498000.0,17428936.0,0.0,6.889147086,0.14657759757446806,0.0162292817679558,0.005005736912550344
FY 2024-25,Andhra Pradesh,Conservation of natural resources,66755009.0,61,1094344.4098360655,56000.0,24720000.0,0.0,6.6755009,0.10943444098360655,0.02106353591160221,0.004850499030975841
