district,state,health_need_score,need_indicators_available
Nicobars,Andaman & Nicobar Islands,58.42,19
Anjaw,Arunachal Pradesh,58.04,18
Bastar,Chhattisgarh,55.56,22
West Khasi Hills,Meghalaya,54.58,22
Bahraich,Uttar Pradesh,54.57,22
Pashchimi Singhbhum,Jharkhand,54.4,22
North  District,Sikkim,54.18,18
Dibang Valley,Arunachal Pradesh,53.6,18
East Jantia Hills,Meghalaya,53.28,22
South West Khasi Hills,Meghalaya,52.88,22
West Siang,Arunachal Pradesh,52.78,19
Gonda,Uttar Pradesh,52.75,22
West Jaintia Hills,Meghalaya,52.27,22
Upper Subansiri,Arunachal Pradesh,52.03,19
West District,Sikkim,51.39,18
South District,Sikkim,51.39,18
Kendujhar,Odisha,49.88,22
Panch Mahals,Gujarat,49.43,22
Nashik,Maharastra,48.63,22
East Siang,Arunachal Pradesh,48.6,19
North & Middle Andaman,Andaman & Nicobar Islands,48.51,18
Ribhoi,Meghalaya,48.34,22
Dohad,Gujarat,48.01,22
Basti,Uttar Pradesh,48.0,22
Surguja,Chhattisgarh,47.93,18
Shrawasti,Uttar Pradesh,47.73,22
Upper Siang,Arunachal Pradesh,47.69,18
Jashpur,Chhattisgarh,47.68,18
Siwan,Bihar,47.29,22
Madhubani,Bihar,47.23,22
Zunheboto,Nagaland,47.15,18
Washim,Maharastra,46.95,22
Bathinda,Punjab,46.67,22
Mahamaya Nagar,Uttar Pradesh,46.6,22
Balrampur,Chhattisgarh,46.47,18
Aravali,Gujarat,45.85,22
Tirap,Arunachal Pradesh,45.8,18
Jalna,Maharastra,45.7,22
Arwal,Bihar,45.62,22
Sitamarhi,Bihar,45.6,22
Barnala,Punjab,45.6,19
Muzaffarpur,Bihar,45.58,22
Pashchim Champaran,Bihar,45.25,22
Bijapur,Chhattisgarh,45.23,19
Mayurbhanj,Odisha,45.09,22
East Khasi Hills,Meghalaya,45.06,22
Namsai,Arunachal Pradesh,44.87,19
Purba Champaran,Bihar,44.85,22
Lower Subansiri,Arunachal Pradesh,44.76,19
Parbhani,Maharastra,44.14,22
Dhenkanal,Odisha,44.06,19
Darbhanga,Bihar,43.99,22
Purnia,Bihar,43.85,22
Tawang,Arunachal Pradesh,43.83,22
Saran,Bihar,43.71,22
Kanshiram Nagar,Uttar Pradesh,43.71,22
Nalanda,Bihar,43.69,22
Lower Dibang Valley,Arunachal Pradesh,43.59,18
Supaul,Bihar,43.54,22
Papum Pare,Arunachal Pradesh,43.53,19
Bharatpur,Rajasthan,43.51,22
Jangoan,Telangana,43.51,19
Siang,Arunachal Pradesh,43.45,18
Biswanath,Assam,43.41,19
Jehanabad,Bihar,43.37,22
Changlang,Arunachal Pradesh,43.37,18
Baksa,Assam,43.35,19
West Kameng,Arunachal Pradesh,43.18,19
Imphal West,Manipur,43.0,18
West Karbi Anglong,Assam,42.99,19
Kishanganj,Bihar,42.97,22
Moga,Punjab,42.92,19
Lakhimpur,Assam,42.9,19
Hoshangabad,Madhya Pradesh,42.88,22
Balrampur,Uttar Pradesh,42.84,22
East District,Sikkim,42.78,19
Surajpur,Chhattisgarh,42.75,18
Sindhudurg,Maharastra,42.65,18
Dindori,Madhya Pradesh,42.59,19
Sangrur,Punjab,42.48,19
Bishnupur,Manipur,42.47,22
Hailakandi,Assam,42.39,19
Warangal Rural,Telangana,42.34,22
Katihar,Bihar,42.26,22
Kottayam,Kerala,42.25,19
Dantewada,Chhattisgarh,42.2,18
Kollam,Kerala,42.2,19
Mansa,Punjab,42.17,19
Kurung Kumey,Arunachal Pradesh,42.12,18
Hardwar,Uttarakhand,42.12,19
Aizawl,Mizoram,42.12,19
Vikarabad,Telangana,42.03,22
Kamareddy,Telangana,42.03,19
Gurdaspur,Punjab,42.02,18
Vaishali,Bihar,41.99,22
Jajapur,Odisha,41.92,22
Hoshiarpur,Punjab,41.92,18
Ratnagiri,Maharastra,41.83,18
Sant Kabir Nagar,Uttar Pradesh,41.79,19
Amritsar,Punjab,41.77,18
Longding,Arunachal Pradesh,41.72,18
Ujjain,Madhya Pradesh,41.71,19
Darjiling,West Bengal,41.71,19
Uttar Bastar Kanker,Chhattisgarh,41.68,18
Kohima,Nagaland,41.64,18
Warangal Urban,Telangana,41.62,19
Chirang,Assam,41.61,19
The Dangs,Gujarat,41.59,18
Jorhat,Assam,41.51,19
Samastipur,Bihar,41.5,22
Araria,Bihar,41.47,22
Narayanpur,Chhattisgarh,41.46,18
Lohit,Arunachal Pradesh,41.45,18
Jayashankar Bhupalapally,Telangana,41.4,19
Harda,Madhya Pradesh,41.29,19
Nandurbar,Maharastra,41.28,22
Dibrugarh,Assam,41.25,19
Dhemaji,Assam,41.22,19
Raigarh,Chhattisgarh,41.14,18
Begusarai,Bihar,41.13,22
Pathanamthitta,Kerala,41.12,19
