state_normalized,average_health_need,maximum_health_need,districts_available,historical_csr_spending_inr,csr_project_count,companies_involved,health_need_score,csr_supply_score,funding_gap_score,potential_unmet_need_score
MAHARASTRA,36.79,48.63,36.0,0.0,0.0,0.0,73.68,0.0,100.0,81.57
SIKKIM,49.94,54.18,4.0,544536871.28,142.0,49.0,100.0,79.92,20.08,76.02
ANDAMAN AND NICOBAR ISLANDS,47.36,58.42,3.0,149789532.25,16.0,10.0,94.84,74.79,25.21,73.95
ARUNACHAL PRADESH,45.59,58.04,20.0,398620950.39,147.0,53.0,91.31,78.68,21.32,70.31
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,27.74,32.05,3.0,0.0,0.0,0.0,55.56,0.0,100.0,68.89
MEGHALAYA,44.73,54.58,11.0,611427242.0,139.0,65.0,89.59,80.38,19.62,68.6
MANIPUR,39.68,43.0,9.0,337320325.5,94.0,66.0,79.45,78.02,21.98,62.21
MIZORAM,37.63,42.12,8.0,147052880.14,49.0,26.0,75.36,74.72,25.28,60.33
NAGALAND,38.0,47.15,11.0,267856130.49,69.0,44.0,76.1,77.1,22.9,60.14
BIHAR,40.38,47.29,38.0,4515221772.19,1110.0,446.0,80.86,88.33,11.67,60.11
TRIPURA,37.42,39.66,8.0,158634955.59,96.0,48.0,74.93,75.02,24.98,59.94
CHHATTISGARH,39.79,55.56,27.0,5470761254.16,1408.0,438.0,79.67,89.09,10.91,59.05
LAKSHADWEEP,33.69,33.69,1.0,5670000.0,2.0,2.0,67.47,61.78,38.22,58.69
PUNJAB,38.38,46.67,22.0,5771122645.5199995,1851.0,648.0,76.85,89.3,10.7,57.01
ASSAM,37.7,43.41,33.0,6015946554.65,1127.0,365.0,75.5,89.47,10.53,56.01
TELANGANA,38.35,43.51,31.0,14350940304.4,4805.0,1794.0,76.8,92.92,7.08,55.88
JHARKHAND,36.96,54.4,24.0,8420402959.33,2054.0,525.0,74.01,90.8,9.2,54.57
KERALA,36.43,42.25,14.0,6070683051.5,2851.0,762.0,72.95,89.5,10.5,54.22
ODISHA,37.17,49.88,30.0,15579646929.55,2878.0,649.0,74.44,93.25,6.75,54.13
PUDUCHERRY,33.07,39.15,4.0,279430011.29,218.0,101.0,66.22,77.27,22.73,53.17
UTTARAKHAND,35.23,42.12,13.0,5170762587.51,1360.0,724.0,70.55,88.86,11.14,52.73
DELHI,35.7,40.01,11.0,27301068871.16,6980.0,3904.0,71.49,95.47,4.53,51.4
UTTAR PRADESH,34.36,54.57,75.0,21954637409.22,5792.0,2455.0,68.81,94.61,5.39,49.79
MADHYA PRADESH,33.76,42.88,51.0,11881532749.17,2702.0,995.0,67.6,92.17,7.83,49.67
WEST BENGAL,33.63,41.71,20.0,10657633297.97,4706.0,1656.0,67.34,91.74,8.26,49.62
KARNATAKA,34.4,39.74,30.0,33562684402.74,10420.0,3427.0,68.89,96.3,3.7,49.34
GOA,31.03,31.08,2.0,1051585009.2,501.0,232.0,62.15,82.54,17.46,48.74
ANDHRA PRADESH,33.18,40.47,13.0,13762503316.4,2896.0,1107.0,66.44,92.75,7.25,48.68
HIMACHAL PRADESH,30.77,38.28,12.0,2251192200.92,924.0,309.0,61.62,85.56,14.44,47.46
LADAKH,28.82,28.98,2.0,255785548.97,81.0,45.0,57.71,76.92,23.08,47.32
TAMIL NADU,32.66,39.01,32.0,27004470412.71,9869.0,2866.0,65.41,95.43,4.57,47.16
GUJARAT,32.95,49.43,33.0,45159059142.35,11505.0,4425.0,65.99,97.47,2.53,46.95
CHANDIGARH,30.02,30.02,1.0,1460728560.39,224.0,136.0,60.12,83.84,16.16,46.93
HARYANA,30.48,40.33,22.0,13827113451.39,4088.0,1776.0,61.05,92.77,7.23,44.9
RAJASTHAN,29.51,43.51,33.0,16097341668.35,4863.0,2103.0,59.1,93.38,6.62,43.36
JAMMU AND KASHMIR,27.55,32.31,20.0,2222770969.23,470.0,178.0,55.17,85.51,14.49,42.97
NEC/NOT MENTIONED,0.0,0.0,0.0,2917163.0,1.0,1.0,0.0,59.14,40.86,12.26
DAMAN AND DIU,0.0,0.0,0.0,128720261.05,64.0,40.0,0.0,74.19,25.81,7.74
DADRA AND NAGAR HAVELI,0.0,0.0,0.0,229969245.99,156.0,70.0,0.0,76.5,23.5,7.05
PAN INDIA,0.0,0.0,0.0,6616648466.8,394.0,121.0,0.0,89.84,10.16,3.05
PAN INDIA (OTHER CENTRALIZED FUNDS),0.0,0.0,0.0,9244437228.8,2437.0,2144.0,0.0,91.17,8.83,2.65
MAHARASHTRA,0.0,0.0,0.0,85278780890.58,22874.0,7223.0,0.0,100.0,0.0,0.0
