"Company Name","Financial Year",PSU/Non-PSU,"CSR State","CSR Development Sector","CSR Sub Development Sector","Project Amount Spent (In INR Cr.)"
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Delhi,"Animal welfare","Environment, Animal Welfare, Conservation Of Resources",0.02
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,Education,"Education, Differently Abled, Livelihood",0.05
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.01
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Health care","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.1
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.3
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh","Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.03
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.03
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Special education","Education, Differently Abled, Livelihood",0.0821028
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Environmental sustainability","Environment, Animal Welfare, Conservation Of Resources",0.2
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,"Andhra Pradesh",Education,"Education, Differently Abled, Livelihood",0.2
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Special education","Education, Differently Abled, Livelihood",0.02
"VIMTA LABS LIMITED","FY 2024-25",Non-PSU,Telangana,"Women empowerment","Gender Equality , Women Empowerment , Old Age Homes , Reducing Inequalities",0.02
"TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED","FY 2024-25",Non-PSU,Gujarat,"Safe drinking water","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",0.0086
"TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED","FY 2024-25",Non-PSU,Gujarat,"Poverty, Eradicating Hunger, Malnutrition","Health, Eradicating Hunger, Poverty And Malnutrition, Safe Drinking Water , Sanitation",1.0
"TRANSFORMERS AND RECTIFIERS (INDIA) LIMITED","FY 2024-25",Non-PSU,Gujarat,Education,"Education, Differently Abled, Livelihood",0.1
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Bihar,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",1.2
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,"Uttar Pradesh","Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.133875
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Telangana,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.0715156
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Bihar,"Livelihood enhancement projects","Education, Differently Abled, Livelihood",0.0446094
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Rural development projects","Rural Development",0.1
"L&T FINANCE LIMITED","FY 2024-25",Non-PSU,Maharashtra,"Rural development projects","Rural Development",0.17
